Part Name,Quantity,Category,Link,European supplier,Note,Unit Cost (USD),Total Cost (USD)
Aluminum Spacers (6mm) (Pack of 10),1,Hardware,https://openbuildspartstore.com/aluminum-spacers-10-pack/?ref=_2E7m4SXRIy8t,https://nl.aliexpress.com/item/10000404234974.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"Four needed for mounting wheels",$3.39,$3.39
Assorted metric screws and nuts,1,Hardware,https://amzn.to/3camT2N,https://nl.aliexpress.com/item/33033655207.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"Used to secure belt clips and pulleys (don't get this unless you need the m2 and m3 screws, it's one of the most expensive items on the list)",$32.98,$32.98
Black-Oxide Alloy Steel Hex Drive Flat Head Screw, 1, Hardware, https://www.mcmaster.com/91294A002/,,"Used to secure drag chain and strain relief clip",$8.75,$8.75
Black-Oxide 18-8 Stainless Steel Pan Head Phillips Screws, 1, Hardware, https://www.mcmaster.com/95836A277/,,"Used to attach PCB to LED cover",$10.52,$10.52
Eccentric Spacer (6mm),2,Hardware,https://openbuildspartstore.com/eccentric-spacer/?ref=_2E7m4SXRIy8t,,,$1.99,$3.98
Low Profile M5 Screws (15mm) (Pack of 10),1,Hardware,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=_2E7m4SXRIy8t,https://nl.aliexpress.com/item/1005003411992910.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"4 needed to attach base and pulley assembly to vertical rail. One needed to tension the base",$1.19,$1.19
Low Profile M5 Screws (25mm) (Pack of 10),1,Hardware,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=_2E7m4SXRIy8t,https://nl.aliexpress.com/item/1005003411992910.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"For mountng wheels to carriage and counterweight",$1.39,$1.39
Low Profile Screw (Pack of 10),1,Hardware,https://www.mcmaster.com/97710A129/,,Used to mount the LED assembly to the horizontal arm,$10.00,$10.00
M3 Nyloc Nuts (Pack of 50),1,Hardware,https://amzn.to/3Qxgn5a,https://nl.aliexpress.com/item/33030388407.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"Used in pulley assembly",$6.99,$6.99
M5 Nyloc Nuts (Pack of 50),1,Hardware,https://amzn.to/3T3DINM,https://nl.aliexpress.com/item/33030388407.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"Used in base",$6.49,$6.49
Super Low Profile Nyloc Nut (pack of 4),2,Hardware,https://www.getfpv.com/m5-black-aluminum-shallow-flange-lock-nut-set-of-4-cw.html,https://nl.aliexpress.com/item/1005004842146404.html?spm=a2g0o.cart.0.0.577061d7frrPq9&mp=1&gatewayAdapt=glo2nld,"For mountng wheels to carriage and counterweight",$4.99,$9.98
Adafruit QT Py - SAMD21,1,Electronics,https://www.adafruit.com/qtpy?gclid=CjwKCAiAh9qdBhAOEiwAvxIokyn6veRmxlDGm5_lQyXC6bfELO_HvTuC_HDXWB-l09hSkp705wz91xoCjs0QAvD_BwE,https://eu.mouser.com/ProductDetail/Adafruit/4600?qs=hd1VzrDQEGi752M4exorSA%3D%3D,,$7.50,$7.50
MPM3610 5V Buck Converter Breakout,1,Electronics,https://www.adafruit.com/product/4739,,,$5.95,$5.95
Heatpipe,1,Cooling,https://www.mouser.com/ProductDetail/984-HPF5L300S13W236,https://nl.mouser.com/ProductDetail/984-HPF5L300S13W236,,$14.02,$14.02
